Processo,Data,Valor
00801314520254039900,28/03/2025,"142.781,31"
00801358220254039900,28/03/2025,"195.956,93"
00801461420254039900,28/03/2025,"395.051,42"
00801505120254039900,28/03/2025,"267.937,13"
00801513620254039900,28/03/2025,"259.827,70"
00801565820254039900,28/03/2025,"95.514,84"
00801582820254039900,28/03/2025,"134.454,73"
00801591320254039900,28/03/2025,"241.544,20"
00801947020254039900,28/03/2025,"164.128,62"
00802016220254039900,28/03/2025,"255.965,03"
00802215320254039900,28/03/2025,"521.542,59"
00802232320254039900,28/03/2025,"280.680,10"
00802240820254039900,28/03/2025,"129.945,79"
00802388920254039900,28/03/2025,"214.322,43"
00802579520254039900,28/03/2025,"112.237,28"
00802596520254039900,28/03/2025,"88.578,84"
00802709420254039900,28/03/2025,"348.256,67"
00802787120254039900,28/03/2025,"497.476,17"
00802873320254039900,28/03/2025,"104.161,43"
00802881820254039900,28/03/2025,"57.386,54"
00802908520254039900,28/03/2025,"57.386,54"
00802917020254039900,28/03/2025,"57.386,54"
00802969220254039900,28/03/2025,"174.926,82"
00803046920254039900,28/03/2025,"52.598,50"
00803055420254039900,28/03/2025,"52.598,50"
00803072420254039900,28/03/2025,"85.561,99"
00803116120254039900,28/03/2025,"116.548,80"
00803193820254039900,28/03/2025,"228.013,03"
00803210820254039900,28/03/2025,"229.523,16"
00803367420254039900,28/03/2025,"217.739,31"
00803531320254039900,28/03/2025,"395.051,36"
00803730420254039900,28/03/2025,"96.576,26"
00803809320254039900,28/03/2025,"520.155,60"
00803921020254039900,28/03/2025,"327.993,84"
00803956220254039900,28/03/2025,"327.993,84"
00803973220254039900,28/03/2025,"742.475,51"
00803981720254039900,28/03/2025,"327.993,80"
00803990220254039900,28/03/2025,"327.993,89"
00804008420254039900,28/03/2025,"906.091,47"
00804138320254039900,28/03/2025,"327.993,89"
00804172320254039900,28/03/2025,"127.123,66"
00804224520254039900,28/03/2025,"469.653,80"
00804241520254039900,28/03/2025,"314.655,37"
00804362920254039900,28/03/2025,"175.694,43"
